Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Value,Recoverable
Microwave Oven,Cat2,8.34,2.76,8.25,6.41,2.45,5.07,8.7,0.87,0.11,853.55,2181.820431,1
Laptop,Cat3,8.63,3.25,0.81,3.98,8.99,5.81,4.7,3.25,4.91,469.54,1221.077691,0
Toaster,Cat2,6.33,3.89,0.35,0.35,2.98,4.79,1.56,7.9,7.35,332.14,479.010365,0
Stove,Cat1,3.28,3.3,8.14,6.86,9.04,6.02,2.12,4.93,6.16,599.44,1929.537226,1
Washing Machine,Cat1,8.69,1.17,8.55,9.02,7.73,8.77,1.05,1.57,1.85,886.05,2630.987545,1
Air Conditioner,Cat1,5.71,6.59,7.9,6.74,5.4,5.4,0.3,7.19,4.16,707.81,2045.1814860000002,1
Stove,Cat1,6.67,4.08,2.18,9.5,2.88,4.13,5.7,6.36,3.65,447.0,2066.771975,1
Toaster,Cat2,8.47,1.1,8.87,8.35,1.1,0.33,5.28,5.56,6.9,892.1,2539.01642,1
iPhone 11,Cat3,3.15,5.47,8.41,8.21,4.49,6.2,6.91,6.22,6.96,608.71,2154.6441960000006,1
Audio Equipment,Cat4,6.71,8.47,4.04,9.53,0.83,9.03,6.19,6.71,1.35,551.2,2228.8639749999993,1
Vacuum Cleaner,Cat2,6.11,3.59,2.93,1.42,5.84,0.46,4.79,1.61,1.25,459.36,839.843235,0
Tablet,Cat3,6.42,3.74,9.61,6.67,5.93,5.12,3.02,0.28,8.59,832.69,2214.1666390000005,1
Audio Equipment,Cat4,4.01,3.58,4.65,1.68,7.18,2.25,5.45,3.21,2.48,448.38,889.3497679999999,0
Vacuum Cleaner,Cat2,2.68,6.64,9.78,2.47,8.47,7.12,3.16,6.46,0.19,659.76,1347.942739,0
Toaster,Cat2,5.34,7.11,3.88,5.0,3.28,3.01,9.42,0.21,5.46,474.46,1427.387086,0
Speaker,Cat4,2.19,6.22,3.52,2.81,5.2,0.3,2.53,3.79,3.58,299.86,862.504588,0
Smartphone,Cat3,4.39,7.38,7.87,7.58,0.86,7.92,0.62,5.53,9.38,641.78,2091.8628080000003,1
Vacuum Cleaner,Cat2,7.52,4.71,0.35,9.91,3.48,4.35,4.69,5.82,1.92,391.08,2035.394622,1
Air Conditioner,Cat1,7.74,7.45,7.55,8.01,2.36,6.03,8.57,3.12,5.46,789.26,2340.411716,1
Iron,Cat2,1.37,6.32,4.24,2.79,2.05,8.83,8.85,7.53,3.78,298.31,867.2914579999999,0
Laptop,Cat3,0.98,1.84,5.93,0.45,7.0,5.35,4.8,4.0,4.77,367.14,612.960627,0
iPhone 11,Cat3,8.89,4.61,0.22,4.65,9.33,1.36,6.56,4.86,5.99,451.4,1294.436219,0
Fridge,Cat1,1.05,3.15,9.49,0.6,3.16,0.41,1.5,1.29,8.51,561.93,929.875631,0
Washing Machine,Cat1,2.9,6.97,0.29,4.66,9.22,2.08,9.96,7.73,6.82,162.19,932.5894920000001,0
Air Conditioner,Cat1,9.86,3.01,3.8,9.32,3.62,9.37,4.9,0.18,1.26,690.04,2367.0133359999995,1
Laptop,Cat3,7.78,2.94,9.7,6.81,4.38,6.57,0.67,1.43,6.93,903.88,2326.711673,1
Audio Equipment,Cat4,6.18,4.21,0.47,3.04,9.87,7.13,2.34,9.66,6.19,331.53,896.900129,0
Fridge,Cat1,6.99,3.47,4.89,4.99,4.41,1.28,3.55,8.93,2.17,607.55,1606.4077269999998,0
Audio Equipment,Cat4,9.87,1.59,7.2,7.37,1.91,2.12,4.76,8.99,3.77,871.73,2339.1893069999996,1
Tablet,Cat3,5.72,8.92,6.67,9.6,6.96,4.11,4.68,0.39,4.38,643.73,2391.7026780000006,1
iPhone 11,Cat3,6.2,4.64,4.75,1.19,2.48,5.24,5.95,7.04,6.75,561.94,958.318755,0
iPhone 11,Cat3,9.57,7.21,9.28,2.46,7.74,6.77,7.61,8.66,9.48,971.83,1733.650478,0
Laptop,Cat3,3.6,5.99,6.88,5.47,7.9,2.07,7.82,6.95,8.21,549.11,1634.3465210000004,0
Audio Equipment,Cat4,7.9,9.63,8.5,5.89,4.45,4.57,7.37,1.71,3.16,849.28,2100.723296,1
Stove,Cat1,2.31,7.38,6.64,4.19,4.98,7.3,9.57,6.45,9.23,473.72,1337.986653,0
Vacuum Cleaner,Cat2,4.86,5.82,0.93,3.77,4.12,6.42,0.16,5.17,8.31,292.14,966.8332809999999,0
Fridge,Cat1,4.8,0.23,2.57,2.55,7.52,4.94,1.63,3.55,3.63,373.88,901.5674529999999,0
TV,Cat4,8.56,5.01,2.0,5.13,7.48,2.97,3.65,5.57,6.9,530.8,1492.92335,0
Tablet,Cat3,9.0,8.91,1.34,4.91,2.38,8.45,4.72,0.88,2.09,519.32,1436.4356790000002,0
iPhone 11,Cat3,8.7,2.62,5.05,2.81,5.67,5.8,3.41,6.11,1.36,699.76,1386.841846,0
iPhone 11,Cat3,0.67,2.44,7.25,8.0,2.84,8.44,4.68,8.45,4.81,422.98,1871.5196310000001,1
Toaster,Cat2,0.5,4.14,5.51,3.53,5.02,0.3,4.54,5.76,1.53,322.25,1028.565173,0
Smartphone,Cat3,8.03,2.04,0.99,8.28,1.93,9.5,2.25,5.32,8.33,448.98,1863.780033,1
Iron,Cat2,5.25,1.48,8.75,7.46,6.58,5.94,9.52,1.04,2.89,727.85,2192.388109,1
Microwave Oven,Cat2,3.66,4.54,9.78,7.59,6.69,9.72,4.76,6.28,3.05,706.74,2200.3804450000002,1
Fridge,Cat1,8.72,2.29,1.87,2.26,5.84,7.77,0.56,5.86,3.65,530.2,1044.9716950000002,0
iPhone 11,Cat3,8.48,2.7,2.24,1.4,6.5,7.41,6.92,3.98,9.39,538.47,927.2224490000001,0
Fridge,Cat1,2.92,9.52,9.96,5.44,4.1,4.92,4.08,9.53,4.22,682.75,1840.358132,1
Microwave Oven,Cat2,3.87,4.22,3.69,9.75,8.35,9.22,6.94,0.68,9.49,390.58,2054.6298289999995,1
Smartphone,Cat3,3.5,9.79,0.77,9.84,4.45,6.31,3.72,7.52,5.58,219.02,1814.226588,1
Audio Equipment,Cat4,3.48,7.06,2.42,3.42,7.53,3.96,4.44,4.54,7.51,304.88,948.9208709999999,0
Smartphone,Cat3,7.42,7.42,7.41,4.79,6.1,2.6,4.24,8.18,1.07,766.01,1810.020127,1
Tablet,Cat3,3.52,2.9,3.05,5.72,2.64,1.38,3.25,5.02,3.56,338.11,1354.792476,0
Fridge,Cat1,7.16,3.9,8.17,1.31,6.14,5.68,3.7,0.41,0.2,792.0,1312.7886099999998,0
Speaker,Cat4,6.27,6.39,4.1,8.37,5.83,7.41,2.82,1.12,9.16,531.65,2024.6480859999997,1
Tablet,Cat3,9.44,9.17,1.12,5.12,5.77,0.54,9.07,4.18,5.42,529.2,1478.555102,0
Washing Machine,Cat1,8.07,8.42,5.09,4.8,6.83,2.95,1.07,6.8,0.44,674.23,1664.882574,0
Toaster,Cat2,1.89,8.5,4.63,3.16,6.92,8.42,7.56,5.29,8.47,346.07,990.594857,0
Fridge,Cat1,1.47,9.7,6.4,6.59,7.34,1.0,2.57,0.37,6.92,420.83,1640.4027619999997,0
Washing Machine,Cat1,9.5,8.12,5.28,1.92,0.87,4.34,5.14,8.54,2.89,754.45,1322.2404689999998,0
Smartphone,Cat3,7.37,2.41,9.61,9.39,8.51,7.1,4.91,4.58,6.12,878.68,2693.5502519999995,1
Laptop,Cat3,7.8,9.76,6.52,5.0,4.59,8.4,0.13,0.96,8.92,738.42,1796.357152,1
Fridge,Cat1,3.66,6.61,5.26,7.88,9.03,5.22,3.27,0.66,1.97,465.68,1881.0357170000004,1
Iron,Cat2,6.96,5.55,4.64,1.12,4.41,0.12,6.05,3.93,8.14,593.85,986.401044,0
Speaker,Cat4,6.63,1.71,1.08,3.87,7.08,3.6,7.02,8.94,4.8,384.79,1100.3722799999998,0
Audio Equipment,Cat4,6.33,6.31,7.19,7.9,1.33,2.45,2.11,5.37,3.29,699.96,2205.491049,1
Monitor,Cat4,1.57,9.16,5.83,8.54,0.5,2.68,0.18,6.5,6.18,394.83,1902.091718,1
Vacuum Cleaner,Cat2,7.98,5.65,3.9,6.98,2.69,5.18,2.37,5.82,6.45,604.44,1898.1934050000004,1
iPhone 11,Cat3,0.88,9.31,6.48,3.33,3.67,5.6,9.88,5.4,2.2,395.93,1104.82034,0
Air Conditioner,Cat1,7.9,8.04,1.29,0.53,1.86,9.95,3.81,2.73,1.93,462.11,684.493933,0
Speaker,Cat4,6.85,8.8,2.67,7.55,7.81,9.76,7.81,5.77,6.26,484.98,1820.1543159999999,1
Speaker,Cat4,3.27,3.07,7.86,1.4,5.05,3.68,0.24,1.49,8.91,583.72,1059.537081,0
Speaker,Cat4,4.78,4.52,5.48,4.09,9.41,0.39,9.34,8.91,8.28,531.22,1378.805888,0
Tablet,Cat3,7.82,6.05,7.91,8.54,6.68,1.71,0.14,6.08,0.62,811.66,2455.194152,1
Speaker,Cat4,7.52,8.84,1.0,7.9,7.56,0.63,9.54,1.04,3.9,428.27,1780.41286,1
Air Conditioner,Cat1,4.88,1.51,1.25,9.39,2.5,0.42,9.78,2.37,1.48,307.67,1860.8779780000002,1
Laptop,Cat3,3.33,6.74,4.42,3.79,1.88,3.67,9.01,0.67,1.15,404.41,1158.5981950000003,0
Vacuum Cleaner,Cat2,5.77,3.53,8.09,2.09,5.0,2.69,7.13,7.35,7.86,719.13,1340.620666,0
Monitor,Cat4,5.43,2.98,5.79,6.59,6.13,3.51,2.67,7.35,6.93,578.9,1830.211953,1
Vacuum Cleaner,Cat2,7.48,5.36,6.34,6.85,2.45,7.53,5.97,7.89,8.43,710.49,2044.5307429999998,1
Stove,Cat1,3.82,2.18,3.85,4.06,2.97,6.16,5.41,9.7,9.83,395.39,1180.412743,0
Speaker,Cat4,8.99,8.54,6.96,1.97,7.93,8.59,3.91,4.58,3.06,819.82,1435.0901760000002,0
Air Conditioner,Cat1,3.18,9.45,3.5,1.51,0.47,6.57,7.13,8.24,9.0,349.33,724.02395,0
Stove,Cat1,0.6,5.17,7.42,4.54,0.21,3.57,2.4,9.06,2.65,430.08,1347.0093350000002,0
Microwave Oven,Cat2,3.15,2.07,3.83,9.77,6.79,2.04,0.15,2.12,4.07,361.31,2022.044607,1
TV,Cat4,0.28,7.01,3.28,7.32,9.24,8.8,3.38,1.39,4.31,193.81,1424.801381,0
iPhone 11,Cat3,1.39,8.7,3.12,1.8,3.89,5.09,3.79,2.14,2.65,240.61,626.455155,0
Fridge,Cat1,8.04,5.47,5.42,9.09,3.65,0.29,4.17,3.13,8.79,688.65,2351.7820790000005,1
Iron,Cat2,8.43,2.08,5.8,9.91,9.54,4.82,5.76,6.55,9.46,726.4,2530.906496,1
Laptop,Cat3,9.97,6.59,9.97,9.9,8.28,1.03,4.89,1.87,2.52,1028.0,2966.718072,1
Microwave Oven,Cat2,7.39,5.31,7.19,3.14,1.52,5.28,3.84,1.13,3.65,751.52,1532.5659350000003,0
iPhone 11,Cat3,4.39,8.76,7.53,3.7,1.01,4.21,9.93,7.18,7.88,624.28,1464.2305980000003,0
Speaker,Cat4,4.31,7.22,3.28,4.58,8.43,9.74,8.88,6.39,1.18,391.96,1250.258008,0
Toaster,Cat2,9.07,1.88,9.03,5.36,4.92,1.17,1.8,8.49,5.17,930.67,2126.5307570000004,1
Iron,Cat2,2.38,8.49,1.82,3.92,8.27,9.12,2.49,4.3,2.48,219.61,911.1383480000002,0
Iron,Cat2,4.12,0.26,7.77,2.09,8.3,1.46,2.92,1.33,0.47,619.06,1209.2436569999998,0
Tablet,Cat3,0.46,9.57,7.53,6.4,9.49,1.98,2.13,9.4,6.85,431.72,1639.8321050000002,0
Fridge,Cat1,4.37,3.72,4.34,5.99,1.7,9.66,8.79,1.89,8.55,449.6,1554.925385,0
TV,Cat4,7.96,6.54,3.3,6.7,2.99,7.54,8.88,6.07,2.23,571.87,1805.960633,1
Toaster,Cat2,0.47,9.17,0.84,6.88,7.4,8.69,7.59,4.45,6.38,73.62,1172.8165379999998,0
Vacuum Cleaner,Cat2,1.96,3.97,8.37,7.88,0.46,6.94,0.12,3.73,6.67,547.19,2024.912097,1
Stove,Cat1,4.22,9.96,6.05,8.84,5.2,3.71,6.1,0.44,7.85,537.37,2131.6433349999998,1
Fridge,Cat1,6.12,0.33,6.63,4.67,1.39,7.29,8.73,3.07,6.97,656.3,1641.0137569999997,0
Washing Machine,Cat1,8.34,6.88,5.06,1.92,8.81,1.68,4.19,8.52,6.7,685.01,1231.36653,0
iPhone 11,Cat3,9.91,1.29,5.78,4.44,2.69,9.66,0.22,5.98,8.94,797.59,1772.414174,1
Speaker,Cat4,0.68,9.79,4.05,1.11,1.05,1.7,9.79,0.94,1.87,256.07,551.7559870000001,0
Iron,Cat2,8.07,3.41,4.93,0.92,7.84,5.65,7.49,3.42,9.09,662.85,1045.9381190000001,0
Stove,Cat1,1.04,2.69,7.71,6.58,5.06,9.72,9.23,6.77,1.73,466.0,1711.988583,0
Monitor,Cat4,9.75,3.48,0.78,4.37,9.83,0.36,3.26,4.99,9.05,523.01,1348.579815,0
Vacuum Cleaner,Cat2,4.23,9.78,1.8,3.23,2.5,2.0,1.87,5.92,0.95,309.97,918.1522949999999,0
Vacuum Cleaner,Cat2,4.62,3.57,9.2,3.92,0.74,8.24,8.44,2.4,6.02,722.16,1643.025822,0
Audio Equipment,Cat4,5.51,7.19,7.48,3.03,7.87,9.25,3.14,7.43,5.54,675.93,1424.487934,0
Microwave Oven,Cat2,2.09,1.01,9.42,0.79,5.87,3.81,6.61,2.89,7.24,608.16,1016.329604,0
Tablet,Cat3,8.55,5.07,3.36,2.73,0.39,4.52,8.74,8.35,7.17,603.14,1230.513327,0
Monitor,Cat4,4.75,9.21,9.33,4.46,1.04,4.03,3.61,0.16,2.67,738.67,1750.4752769999998,1
Washing Machine,Cat1,4.22,6.95,6.98,6.76,6.48,1.37,3.95,6.17,9.55,585.45,1881.6512149999999,1
Fridge,Cat1,1.04,5.86,7.75,3.73,9.9,8.44,5.5,0.34,2.75,470.01,1276.4710150000003,0
Vacuum Cleaner,Cat2,1.91,1.82,2.19,3.61,1.58,4.3,1.23,4.71,8.13,212.34,857.289043,0
Tablet,Cat3,9.59,6.6,6.59,6.37,5.44,8.21,0.79,2.07,3.99,828.32,2122.3749390000003,1
Microwave Oven,Cat2,6.76,5.68,4.21,8.75,5.15,4.96,7.17,6.55,1.89,561.15,2122.1382590000003,1
Air Conditioner,Cat1,2.82,8.45,2.91,0.98,0.99,2.61,3.09,4.75,2.16,299.39,570.6329959999999,0
Fridge,Cat1,9.59,6.79,8.6,3.68,2.29,3.03,6.66,0.72,0.77,935.99,1868.2538669999997,1
Iron,Cat2,6.68,9.1,8.64,2.58,2.04,7.66,5.57,6.04,6.09,796.55,1522.920069,0
Audio Equipment,Cat4,7.61,9.55,5.63,3.55,8.13,9.77,7.64,1.82,3.03,681.35,1487.738693,0
Toaster,Cat2,3.28,8.85,6.02,4.48,8.4,5.56,5.92,2.71,8.55,489.02,1394.2022049999998,0
Microwave Oven,Cat2,4.96,2.41,4.66,4.2,4.3,1.12,3.36,3.75,5.81,494.86,1338.4360109999998,0
TV,Cat4,8.12,2.68,9.27,5.13,8.32,0.85,6.56,9.49,5.52,897.35,2052.2915519999997,1
Microwave Oven,Cat2,8.32,1.8,2.22,3.37,8.43,1.03,2.38,8.09,5.27,528.93,1219.959087,0
Speaker,Cat4,3.06,2.38,2.33,0.36,9.72,6.15,5.89,1.24,8.57,276.81,436.96416700000003,0
Audio Equipment,Cat4,6.13,2.76,9.67,9.82,3.9,0.85,7.62,9.17,2.9,820.98,2688.26949,1
Vacuum Cleaner,Cat2,5.44,6.48,6.14,9.78,0.36,6.65,1.07,3.24,6.88,600.13,2356.925178,1
Air Conditioner,Cat1,2.09,1.93,3.78,9.16,9.86,1.81,7.72,7.36,9.72,306.51,1857.746402,1
Monitor,Cat4,8.72,3.97,2.77,3.24,7.62,3.16,5.57,3.09,3.21,579.33,1271.2993709999998,0
Stove,Cat1,8.22,9.62,0.22,5.76,1.01,6.58,2.78,7.85,8.78,421.33,1429.6921079999997,0
Laptop,Cat3,3.52,8.07,3.8,4.6,5.18,0.34,3.97,6.98,8.4,381.27,1246.88038,0
Iron,Cat2,4.15,1.29,1.79,1.01,1.56,6.03,3.57,2.66,4.88,300.7,560.343878,0
Air Conditioner,Cat1,6.72,3.73,8.24,6.41,2.34,6.77,9.8,7.03,0.68,774.0,2081.577788,1
Smartphone,Cat3,0.17,5.38,8.76,6.24,6.18,2.93,1.06,5.41,9.42,480.95,1692.6488219999999,0
Iron,Cat2,1.54,5.77,6.82,8.08,4.27,6.66,5.4,4.16,3.8,444.58,1906.1558,1
Speaker,Cat4,6.61,0.36,1.58,2.1,5.23,3.13,0.61,5.56,3.09,409.78,863.863739,0
Fridge,Cat1,3.88,1.14,4.91,5.46,5.91,4.36,0.51,5.35,3.99,454.55,1485.9258289999998,0
Stove,Cat1,2.4,3.37,0.19,4.2,1.61,9.27,1.97,6.88,2.92,130.23,818.7709619999999,0
Stove,Cat1,8.88,7.11,8.42,3.03,9.39,3.48,3.46,1.23,1.99,891.75,1709.313769,0
Toaster,Cat2,7.92,0.42,9.83,9.42,0.22,4.99,0.27,1.75,0.65,916.19,2747.9461850000002,1
Monitor,Cat4,6.02,8.39,2.1,9.32,8.02,1.18,3.49,5.55,3.38,413.26,1996.152668,1
Stove,Cat1,8.86,9.78,5.8,9.84,0.98,2.75,1.93,2.64,6.2,751.78,2553.7510899999997,1
Iron,Cat2,9.81,6.42,6.88,0.66,6.81,9.57,9.01,4.61,6.64,854.61,1274.460004,0
Washing Machine,Cat1,0.23,1.74,5.33,2.57,2.66,2.77,5.31,1.12,9.13,297.97,846.2002829999999,0
Stove,Cat1,2.73,2.62,8.38,6.66,6.76,4.51,8.1,6.76,7.09,584.83,1883.217699,1
Fridge,Cat1,9.57,2.73,9.82,6.14,6.58,0.93,9.37,7.16,8.95,998.07,2343.337445,1
Smartphone,Cat3,2.09,7.99,3.92,8.85,2.06,4.21,5.59,9.86,5.56,317.42,1826.713726,1
Fridge,Cat1,8.04,7.73,4.9,7.63,3.51,4.96,8.5,2.54,3.8,662.17,2085.71036,1
Air Conditioner,Cat1,0.49,9.01,7.58,8.62,5.73,8.98,9.26,4.67,7.83,435.63,1989.544893,1
TV,Cat4,0.37,9.4,1.82,4.88,0.32,1.52,2.64,4.8,8.06,121.12,935.7928060000002,0
Washing Machine,Cat1,0.28,3.81,4.66,5.2,9.19,3.42,5.64,6.69,6.36,265.82,1204.806166,0
Washing Machine,Cat1,5.7,0.11,8.97,7.12,3.04,5.11,8.31,5.68,9.62,760.9,2184.0155720000007,1
Audio Equipment,Cat4,4.72,7.85,7.59,0.29,6.13,4.36,2.96,3.14,2.51,643.27,960.1369109999999,0
Toaster,Cat2,3.06,1.79,8.12,9.48,1.45,4.19,6.6,9.22,6.17,586.56,2318.8123470000005,1
Microwave Oven,Cat2,3.81,4.86,1.1,6.03,0.82,9.51,1.05,8.09,7.03,249.12,1264.953163,0
Air Conditioner,Cat1,1.72,0.62,9.02,4.4,6.92,0.12,6.39,6.01,4.85,568.27,1520.072715,0
Microwave Oven,Cat2,8.59,9.37,6.31,2.23,2.74,0.43,2.38,9.78,6.85,765.59,1398.3635950000003,0
Tablet,Cat3,6.37,4.59,6.51,4.11,5.59,7.16,3.87,9.7,1.52,664.65,1564.073092,0
Air Conditioner,Cat1,7.52,9.06,9.92,9.05,9.92,5.86,9.53,5.36,8.69,906.47,2681.620249,1
Vacuum Cleaner,Cat2,0.29,2.04,2.23,2.79,9.68,4.35,2.57,6.55,8.03,135.12,633.367083,0
Stove,Cat1,8.42,4.16,7.06,7.34,4.35,7.73,7.06,5.6,3.97,794.6,2235.987307,1
Audio Equipment,Cat4,0.21,8.33,9.95,7.17,9.9,8.93,8.5,5.7,3.07,548.53,1938.825797,1
TV,Cat4,4.82,0.26,5.14,9.68,1.5,9.94,5.51,5.35,3.82,512.6,2216.264572,1
Tablet,Cat3,1.44,5.92,6.09,5.64,6.91,0.12,0.49,2.7,2.35,400.56,1462.5365549999997,0
Laptop,Cat3,6.86,3.83,9.91,4.56,6.47,0.97,9.31,6.46,6.22,870.36,1938.748692,1
Microwave Oven,Cat2,7.84,7.83,6.49,6.72,6.15,8.13,7.32,8.91,4.86,737.69,2061.3025460000003,1
Audio Equipment,Cat4,2.71,3.27,3.48,8.18,5.61,8.92,2.15,4.83,5.73,321.74,1721.3427029999998,0
Vacuum Cleaner,Cat2,8.3,5.15,8.26,0.88,4.29,6.07,1.57,1.53,7.9,853.53,1325.2542499999997,0
Speaker,Cat4,2.75,8.48,3.74,1.66,9.02,7.97,7.0,1.82,0.55,340.65,739.310885,0
Fridge,Cat1,9.47,9.62,3.12,2.51,5.9,5.27,1.98,6.09,4.24,638.18,1238.371564,0
Stove,Cat1,1.42,1.18,1.05,7.32,9.88,2.86,0.51,3.72,4.01,126.9,1309.1009010000002,0
Washing Machine,Cat1,6.41,5.54,7.9,8.44,1.2,4.7,8.92,4.84,1.73,741.53,2351.0814329999994,1
Speaker,Cat4,8.42,7.41,9.56,6.62,5.07,5.65,9.33,2.11,1.21,930.38,2329.9356210000005,1
Air Conditioner,Cat1,2.7,2.56,7.58,5.1,4.12,9.12,1.54,5.93,3.79,540.51,1574.723769,0
Air Conditioner,Cat1,5.49,2.17,3.43,4.91,1.93,9.84,6.01,9.85,3.47,454.99,1381.782977,0
Stove,Cat1,6.3,9.15,9.93,6.4,6.68,7.45,0.42,6.13,4.58,847.09,2196.012478,1
Microwave Oven,Cat2,9.88,3.36,5.99,6.6,0.74,2.37,6.37,0.98,2.08,808.39,2124.1131179999998,1
Smartphone,Cat3,5.24,5.5,7.92,5.49,3.18,4.7,8.46,1.44,4.41,685.12,1822.893621,1
Microwave Oven,Cat2,5.54,7.64,5.69,0.86,0.51,9.06,1.95,1.92,5.67,581.64,945.2658870000002,0
Microwave Oven,Cat2,3.34,7.49,2.53,2.01,0.8,1.45,9.76,7.68,1.04,304.0,730.878014,0
Iron,Cat2,3.17,8.18,3.58,2.58,9.29,4.66,4.94,7.03,1.63,352.48,894.592533,0
iPhone 11,Cat3,2.86,8.68,7.98,9.32,8.76,5.32,7.92,8.0,6.24,573.3,2276.998904,1
Audio Equipment,Cat4,5.85,5.05,7.33,1.6,3.7,4.86,2.1,4.11,0.67,683.23,1209.492077,0
Tablet,Cat3,7.19,5.49,0.52,7.2,5.77,8.98,9.22,3.27,8.74,384.54,1609.6370240000003,0
Laptop,Cat3,2.8,1.64,5.19,3.43,7.49,1.53,5.81,9.44,3.24,416.74,1127.4816739999999,0
Washing Machine,Cat1,4.72,0.76,7.01,2.37,5.93,8.27,4.04,3.64,3.01,608.2,1228.9613509999997,0
TV,Cat4,6.75,7.04,5.06,3.21,1.6,6.95,8.28,9.88,2.85,606.97,1332.985435,0
Iron,Cat2,7.59,7.55,8.78,0.85,5.31,2.37,3.47,8.54,5.8,847.83,1320.9241299999994,0
Speaker,Cat4,8.25,8.0,7.16,1.73,6.32,6.62,4.48,5.74,3.4,793.81,1367.61354,0
Toaster,Cat2,7.35,6.83,6.73,5.42,4.22,3.37,8.34,8.87,7.78,725.79,1847.7331379999998,1
Microwave Oven,Cat2,5.45,2.76,7.53,7.19,8.05,5.75,7.42,4.98,6.51,673.06,2065.3412809999995,1
Toaster,Cat2,8.06,9.5,4.22,1.9,5.49,6.22,6.04,9.62,3.92,627.78,1145.4708119999998,0
Speaker,Cat4,7.53,8.79,3.0,9.89,8.72,1.79,7.31,2.35,0.95,535.93,2251.4713949999996,1
Iron,Cat2,5.0,9.26,9.74,8.66,5.29,3.59,8.74,3.65,8.52,773.01,2450.367372,1
TV,Cat4,5.79,0.16,2.3,9.18,7.38,5.67,5.38,7.73,3.75,408.03,1968.7400750000002,1
Iron,Cat2,2.39,8.4,8.09,1.35,1.9,0.25,3.66,0.62,2.43,555.75,1020.788473,0
Audio Equipment,Cat4,7.04,3.5,0.82,5.42,4.22,4.82,7.06,3.26,1.02,392.01,1346.654622,0
Vacuum Cleaner,Cat2,8.26,4.86,5.84,8.0,9.15,4.15,2.9,1.5,0.79,721.77,2230.1180289999998,1
Stove,Cat1,7.92,7.09,5.65,0.31,1.37,3.13,3.45,5.19,2.04,696.03,1003.6606240000001,0
Tablet,Cat3,5.62,8.29,8.5,9.29,1.03,3.68,5.85,3.41,1.88,736.42,2484.986098,1
iPhone 11,Cat3,9.44,2.05,2.75,6.16,4.64,5.85,5.87,3.88,2.94,612.54,1765.136444,1
Smartphone,Cat3,8.33,7.37,2.78,4.67,7.2,8.16,0.88,0.19,2.51,562.73,1472.9017609999999,0
Toaster,Cat2,2.54,5.95,4.51,2.15,0.41,3.14,9.88,7.8,0.33,369.93,861.945493,0
Monitor,Cat4,9.99,0.97,5.7,4.29,5.13,1.71,8.02,4.35,3.02,796.94,1747.209862,0
Speaker,Cat4,0.62,8.04,3.04,4.32,9.54,7.76,5.52,0.44,2.13,198.24,962.413573,0
iPhone 11,Cat3,5.46,7.95,5.9,5.49,8.91,3.49,1.1,6.95,1.89,589.16,1675.2322890000005,0
Fridge,Cat1,0.77,4.39,4.94,7.61,8.44,1.49,8.42,4.45,3.63,305.19,1631.916343,0
Laptop,Cat3,0.92,7.04,1.92,2.71,2.51,0.91,0.32,3.21,0.34,152.17,639.386714,0
Vacuum Cleaner,Cat2,10.0,7.85,1.92,7.31,9.93,2.39,4.97,4.87,3.02,598.92,1916.3596619999998,1
