Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Metals,Avg_Metal_Value,Profit_per_Metal,Precious_Ratio,Recovery_Status
Audio Equipment,3,6.71,8.47,4.04,9.53,0.83,9.03,6.19,6.71,1.35,551.2,37.68,5.382857142857143,14.628450106157114,0.3601380042462845,1
Vacuum Cleaner,1,6.11,3.59,2.93,1.42,5.84,0.46,4.79,1.61,1.25,459.36,18.3,2.6142857142857143,25.101639344262296,0.23770491803278684,1
Tablet,2,6.42,3.74,9.61,6.67,5.93,5.12,3.02,0.28,8.59,832.69,39.22,5.602857142857142,21.231259561448244,0.41509433962264153,1
Audio Equipment,3,4.01,3.58,4.65,1.68,7.18,2.25,5.45,3.21,2.48,448.38,26.900000000000002,3.842857142857143,16.668401486988845,0.2353159851301115,1
Vacuum Cleaner,1,2.68,6.64,9.78,2.47,8.47,7.12,3.16,6.46,0.19,659.76,37.65,5.378571428571428,17.523505976095617,0.3253652058432935,1
Toaster,1,5.34,7.11,3.88,5.0,3.28,3.01,9.42,0.21,5.46,474.46,30.259999999999998,4.322857142857143,15.679444811632518,0.29345670852610706,1
Speaker,3,2.19,6.22,3.52,2.81,5.2,0.3,2.53,3.79,3.58,299.86,21.730000000000004,3.104285714285715,13.799355729406349,0.291302346985734,0
Smartphone,2,4.39,7.38,7.87,7.58,0.86,7.92,0.62,5.53,9.38,641.78,39.76,5.68,16.14134808853119,0.3885814889336016,1
Vacuum Cleaner,1,7.52,4.71,0.35,9.91,3.48,4.35,4.69,5.82,1.92,391.08,30.520000000000003,4.36,12.813892529488857,0.33617300131061595,1
Air Conditioner,0,7.74,7.45,7.55,8.01,2.36,6.03,8.57,3.12,5.46,789.26,41.099999999999994,5.871428571428571,19.203406326034067,0.3785888077858881,1
Iron,1,1.37,6.32,4.24,2.79,2.05,8.83,8.85,7.53,3.78,298.31,38.07,5.438571428571429,7.835828736537956,0.18465983714210665,0
Laptop,2,0.98,1.84,5.93,0.45,7.0,5.35,4.8,4.0,4.77,367.14,32.3,4.614285714285714,11.366563467492261,0.1975232198142415,1
iPhone 11,2,8.89,4.61,0.22,4.65,9.33,1.36,6.56,4.86,5.99,451.4,32.97,4.71,13.691234455565665,0.14771003942978467,1
Fridge,0,1.05,3.15,9.49,0.6,3.16,0.41,1.5,1.29,8.51,561.93,24.96,3.565714285714286,22.51322115384615,0.4042467948717949,1
Washing Machine,0,2.9,6.97,0.29,4.66,9.22,2.08,9.96,7.73,6.82,162.19,40.76,5.822857142857143,3.9791462217860647,0.12144259077526988,0
Air Conditioner,0,9.86,3.01,3.8,9.32,3.62,9.37,4.9,0.18,1.26,690.04,32.449999999999996,4.635714285714285,21.264714946070878,0.40431432973805864,1
Laptop,2,7.78,2.94,9.7,6.81,4.38,6.57,0.67,1.43,6.93,903.88,36.489999999999995,5.212857142857142,24.770622088243357,0.45245272677445875,1
Audio Equipment,3,6.18,4.21,0.47,3.04,9.87,7.13,2.34,9.66,6.19,331.53,38.699999999999996,5.528571428571428,8.566666666666666,0.09069767441860466,1
Fridge,0,6.99,3.47,4.89,4.99,4.41,1.28,3.55,8.93,2.17,607.55,30.22,4.317142857142857,20.104235605559232,0.32693580410324286,1
Audio Equipment,3,9.87,1.59,7.2,7.37,1.91,2.12,4.76,8.99,3.77,871.73,36.120000000000005,5.160000000000001,24.13427464008859,0.4033776301218161,1
Tablet,2,5.72,8.92,6.67,9.6,6.96,4.11,4.68,0.39,4.38,643.73,36.79,5.255714285714285,17.49741777656972,0.44223973905952707,1
iPhone 11,2,6.2,4.64,4.75,1.19,2.48,5.24,5.95,7.04,6.75,561.94,33.4,4.771428571428571,16.824550898203594,0.1778443113772455,1
iPhone 11,2,9.57,7.21,9.28,2.46,7.74,6.77,7.61,8.66,9.48,971.83,52.0,7.428571428571429,18.689038461538463,0.22576923076923075,1
Laptop,2,3.6,5.99,6.88,5.47,7.9,2.07,7.82,6.95,8.21,549.11,45.300000000000004,6.471428571428572,12.121633554083884,0.27262693156732887,1
Audio Equipment,3,7.9,9.63,8.5,5.89,4.45,4.57,7.37,1.71,3.16,849.28,35.650000000000006,5.092857142857143,23.822720897615703,0.4036465638148667,1
Stove,0,2.31,7.38,6.64,4.19,4.98,7.3,9.57,6.45,9.23,473.72,48.36,6.908571428571428,9.795698924731184,0.2239454094292804,1
Vacuum Cleaner,1,4.86,5.82,0.93,3.77,4.12,6.42,0.16,5.17,8.31,292.14,28.880000000000003,4.125714285714286,10.115650969529085,0.16274238227146814,0
Fridge,0,4.8,0.23,2.57,2.55,7.52,4.94,1.63,3.55,3.63,373.88,26.389999999999997,3.7699999999999996,14.167487684729066,0.19401288366805608,1
TV,3,8.56,5.01,2.0,5.13,7.48,2.97,3.65,5.57,6.9,530.8,33.699999999999996,4.814285714285714,15.750741839762611,0.21157270029673592,1
Tablet,2,9.0,8.91,1.34,4.91,2.38,8.45,4.72,0.88,2.09,519.32,24.769999999999996,3.538571428571428,20.965684295518777,0.25232135647961246,1
iPhone 11,2,8.7,2.62,5.05,2.81,5.67,5.8,3.41,6.11,1.36,699.76,30.209999999999997,4.315714285714285,23.163190996358825,0.2601787487586892,1
iPhone 11,2,0.67,2.44,7.25,8.0,2.84,8.44,4.68,8.45,4.81,422.98,44.47,6.352857142857142,9.511580841016416,0.34292781650550935,1
Toaster,1,0.5,4.14,5.51,3.53,5.02,0.3,4.54,5.76,1.53,322.25,26.189999999999998,3.741428571428571,12.304314623902254,0.34516991218022147,1
Smartphone,2,8.03,2.04,0.99,8.28,1.93,9.5,2.25,5.32,8.33,448.98,36.6,5.228571428571429,12.267213114754098,0.2532786885245901,1
Iron,1,5.25,1.48,8.75,7.46,6.58,5.94,9.52,1.04,2.89,727.85,42.18,6.025714285714286,17.255808440018967,0.38430535798956855,1
Microwave Oven,1,3.66,4.54,9.78,7.59,6.69,9.72,4.76,6.28,3.05,706.74,47.87,6.838571428571428,14.763735115939003,0.3628577397117192,1
Fridge,0,8.72,2.29,1.87,2.26,5.84,7.77,0.56,5.86,3.65,530.2,27.809999999999995,3.972857142857142,19.06508450197771,0.1485077310320029,1
iPhone 11,2,8.48,2.7,2.24,1.4,6.5,7.41,6.92,3.98,9.39,538.47,37.84,5.405714285714287,14.230179704016912,0.09619450317124735,1
Fridge,0,2.92,9.52,9.96,5.44,4.1,4.92,4.08,9.53,4.22,682.75,42.25,6.035714285714286,16.159763313609467,0.3644970414201184,1
Microwave Oven,1,3.87,4.22,3.69,9.75,8.35,9.22,6.94,0.68,9.49,390.58,48.12,6.874285714285714,8.116791354945969,0.2793017456359102,1
Smartphone,2,3.5,9.79,0.77,9.84,4.45,6.31,3.72,7.52,5.58,219.02,38.19,5.4557142857142855,5.735009164702802,0.277821419219691,0
Audio Equipment,3,3.48,7.06,2.42,3.42,7.53,3.96,4.44,4.54,7.51,304.88,33.82,4.831428571428572,9.01478415138971,0.17267888823181549,1
Smartphone,2,7.42,7.42,7.41,4.79,6.1,2.6,4.24,8.18,1.07,766.01,34.39,4.912857142857143,22.274207618493747,0.3547542890375109,1
Tablet,2,3.52,2.9,3.05,5.72,2.64,1.38,3.25,5.02,3.56,338.11,24.619999999999997,3.517142857142857,13.733143785540213,0.35621445978878963,1
Fridge,0,7.16,3.9,8.17,1.31,6.14,5.68,3.7,0.41,0.2,792.0,25.61,3.6585714285714284,30.92541975790707,0.37016790316282705,1
Speaker,3,6.27,6.39,4.1,8.37,5.83,7.41,2.82,1.12,9.16,531.65,38.81,5.5442857142857145,13.698788971914453,0.32130894099458895,1
Tablet,2,9.44,9.17,1.12,5.12,5.77,0.54,9.07,4.18,5.42,529.2,31.22,4.46,16.950672645739914,0.19987187700192185,1
Washing Machine,0,8.07,8.42,5.09,4.8,6.83,2.95,1.07,6.8,0.44,674.23,27.98,3.9971428571428573,24.09685489635454,0.3534667619728378,1
Toaster,1,1.89,8.5,4.63,3.16,6.92,8.42,7.56,5.29,8.47,346.07,44.45,6.3500000000000005,7.785601799775027,0.17525309336332956,1
Fridge,0,1.47,9.7,6.4,6.59,7.34,1.0,2.57,0.37,6.92,420.83,31.189999999999998,4.4557142857142855,13.492465533824944,0.4164796409105483,1
Washing Machine,0,9.5,8.12,5.28,1.92,0.87,4.34,5.14,8.54,2.89,754.45,28.98,4.14,26.033471359558316,0.2484472049689441,1
Smartphone,2,7.37,2.41,9.61,9.39,8.51,7.1,4.91,4.58,6.12,878.68,50.21999999999999,7.1742857142857135,17.496614894464358,0.3783353245718838,1
Laptop,2,7.8,9.76,6.52,5.0,4.59,8.4,0.13,0.96,8.92,738.42,34.519999999999996,4.931428571428571,21.391077636152957,0.33371958285052145,1
Fridge,0,3.66,6.61,5.26,7.88,9.03,5.22,3.27,0.66,1.97,465.68,33.29,4.755714285714285,13.988585160708922,0.39471312706518474,1
Iron,1,6.96,5.55,4.64,1.12,4.41,0.12,6.05,3.93,8.14,593.85,28.41,4.058571428571429,20.90285110876452,0.2027455121436114,1
Speaker,3,6.63,1.71,1.08,3.87,7.08,3.6,7.02,8.94,4.8,384.79,36.38999999999999,5.1985714285714275,10.574058807364663,0.13602638087386648,1
Audio Equipment,3,6.33,6.31,7.19,7.9,1.33,2.45,2.11,5.37,3.29,699.96,29.64,4.234285714285714,23.615384615384617,0.5091093117408907,1
Monitor,3,1.57,9.16,5.83,8.54,0.5,2.68,0.18,6.5,6.18,394.83,30.41,4.344285714285714,12.983558040118382,0.4725419269976981,1
Vacuum Cleaner,1,7.98,5.65,3.9,6.98,2.69,5.18,2.37,5.82,6.45,604.44,33.39,4.7700000000000005,18.102425876010784,0.3258460616951183,1
iPhone 11,2,0.88,9.31,6.48,3.33,3.67,5.6,9.88,5.4,2.2,395.93,36.56,5.222857142857143,10.829595185995624,0.26832603938730853,1
Air Conditioner,0,7.9,8.04,1.29,0.53,1.86,9.95,3.81,2.73,1.93,462.11,22.099999999999998,3.157142857142857,20.909954751131224,0.0823529411764706,1
Speaker,3,6.85,8.8,2.67,7.55,7.81,9.76,7.81,5.77,6.26,484.98,47.63,6.804285714285714,10.182238085240394,0.2145706487507873,1
Speaker,3,3.27,3.07,7.86,1.4,5.05,3.68,0.24,1.49,8.91,583.72,28.629999999999995,4.089999999999999,20.38840377226686,0.32343695424380026,1
Speaker,3,4.78,4.52,5.48,4.09,9.41,0.39,9.34,8.91,8.28,531.22,45.900000000000006,6.557142857142858,11.57342047930283,0.20849673202614377,1
Tablet,2,7.82,6.05,7.91,8.54,6.68,1.71,0.14,6.08,0.62,811.66,31.680000000000003,4.525714285714286,25.620580808080806,0.5192550505050504,1
Speaker,3,7.52,8.84,1.0,7.9,7.56,0.63,9.54,1.04,3.9,428.27,31.569999999999997,4.51,13.56572695597086,0.28191320874247705,1
Air Conditioner,0,4.88,1.51,1.25,9.39,2.5,0.42,9.78,2.37,1.48,307.67,27.19,3.8842857142857143,11.315557190143435,0.39132033835969104,1
Laptop,2,3.33,6.74,4.42,3.79,1.88,3.67,9.01,0.67,1.15,404.41,24.59,3.512857142857143,16.44611630744205,0.3338755591703945,1
Vacuum Cleaner,1,5.77,3.53,8.09,2.09,5.0,2.69,7.13,7.35,7.86,719.13,40.21,5.744285714285715,17.88435712509326,0.2531708530216364,1
Monitor,3,5.43,2.98,5.79,6.59,6.13,3.51,2.67,7.35,6.93,578.9,38.97,5.567142857142857,14.85501667949705,0.3176802668719528,1
Vacuum Cleaner,1,7.48,5.36,6.34,6.85,2.45,7.53,5.97,7.89,8.43,710.49,45.46,6.494285714285715,15.628904531456225,0.29014518257809063,1
Stove,0,3.82,2.18,3.85,4.06,2.97,6.16,5.41,9.7,9.83,395.39,41.98,5.997142857142856,9.4185326345879,0.18842305859933303,1
Speaker,3,8.99,8.54,6.96,1.97,7.93,8.59,3.91,4.58,3.06,819.82,37.0,5.285714285714286,22.157297297297298,0.24135135135135136,1
Air Conditioner,0,3.18,9.45,3.5,1.51,0.47,6.57,7.13,8.24,9.0,349.33,36.42,5.202857142857143,9.591707852828115,0.1375617792421746,1
Stove,0,0.6,5.17,7.42,4.54,0.21,3.57,2.4,9.06,2.65,430.08,29.85,4.264285714285714,14.408040201005024,0.40067001675041874,1
Microwave Oven,1,3.15,2.07,3.83,9.77,6.79,2.04,0.15,2.12,4.07,361.31,28.77,4.11,12.558567952728536,0.4727146332985749,1
TV,3,0.28,7.01,3.28,7.32,9.24,8.8,3.38,1.39,4.31,193.81,37.720000000000006,5.38857142857143,5.138123011664899,0.28101802757158,0
iPhone 11,2,1.39,8.7,3.12,1.8,3.89,5.09,3.79,2.14,2.65,240.61,22.48,3.2114285714285713,10.703291814946619,0.2188612099644128,0
Fridge,0,8.04,5.47,5.42,9.09,3.65,0.29,4.17,3.13,8.79,688.65,34.53999999999999,4.934285714285713,19.93775332947308,0.42009264620729597,1
Iron,1,8.43,2.08,5.8,9.91,9.54,4.82,5.76,6.55,9.46,726.4,51.839999999999996,7.405714285714285,14.012345679012347,0.30304783950617287,1
Laptop,2,9.97,6.59,9.97,9.9,8.28,1.03,4.89,1.87,2.52,1028.0,38.46,5.494285714285715,26.72906916276651,0.516640665626625,1
Microwave Oven,1,7.39,5.31,7.19,3.14,1.52,5.28,3.84,1.13,3.65,751.52,25.749999999999996,3.678571428571428,29.185242718446606,0.4011650485436894,1
iPhone 11,2,4.39,8.76,7.53,3.7,1.01,4.21,9.93,7.18,7.88,624.28,41.440000000000005,5.920000000000001,15.064671814671811,0.27099420849420847,1
Speaker,3,4.31,7.22,3.28,4.58,8.43,9.74,8.88,6.39,1.18,391.96,42.480000000000004,6.068571428571429,9.226930320150657,0.18502824858757058,1
Toaster,1,9.07,1.88,9.03,5.36,4.92,1.17,1.8,8.49,5.17,930.67,35.940000000000005,5.134285714285715,25.89510294936004,0.40038953811908734,1
Iron,1,2.38,8.49,1.82,3.92,8.27,9.12,2.49,4.3,2.48,219.61,32.4,4.628571428571428,6.7780864197530875,0.1771604938271605,0
Iron,1,4.12,0.26,7.77,2.09,8.3,1.46,2.92,1.33,0.47,619.06,24.339999999999996,3.4771428571428564,25.43385373870173,0.40509449465899755,1
Tablet,2,0.46,9.57,7.53,6.4,9.49,1.98,2.13,9.4,6.85,431.72,43.78,6.2542857142857144,9.861123800822293,0.3181818181818182,1
Fridge,0,4.37,3.72,4.34,5.99,1.7,9.66,8.79,1.89,8.55,449.6,40.92,5.845714285714286,10.98729227761486,0.2524437927663734,1
TV,3,7.96,6.54,3.3,6.7,2.99,7.54,8.88,6.07,2.23,571.87,37.71,5.387142857142857,15.164942985945371,0.26518164942985945,1
Toaster,1,0.47,9.17,0.84,6.88,7.4,8.69,7.59,4.45,6.38,73.62,42.230000000000004,6.032857142857144,1.743310442813166,0.1828084300260478,0
Vacuum Cleaner,1,1.96,3.97,8.37,7.88,0.46,6.94,0.12,3.73,6.67,547.19,34.17,4.881428571428572,16.0137547556336,0.47556335967222707,1
Stove,0,4.22,9.96,6.05,8.84,5.2,3.71,6.1,0.44,7.85,537.37,38.19,5.4557142857142855,14.070960984550931,0.3898926420528935,1
Fridge,0,6.12,0.33,6.63,4.67,1.39,7.29,8.73,3.07,6.97,656.3,38.75,5.535714285714286,16.936774193548384,0.29161290322580646,1
Washing Machine,0,8.34,6.88,5.06,1.92,8.81,1.68,4.19,8.52,6.7,685.01,36.88,5.268571428571429,18.574023861171366,0.1892624728850325,1
iPhone 11,2,9.91,1.29,5.78,4.44,2.69,9.66,0.22,5.98,8.94,797.59,37.71,5.387142857142857,21.15062317687616,0.2710156457173164,1
Speaker,3,0.68,9.79,4.05,1.11,1.05,1.7,9.79,0.94,1.87,256.07,20.51,2.93,12.485129205265723,0.2515845928815212,0
Iron,1,8.07,3.41,4.93,0.92,7.84,5.65,7.49,3.42,9.09,662.85,39.34,5.62,16.84926283680732,0.14870360955770207,1
Stove,0,1.04,2.69,7.71,6.58,5.06,9.72,9.23,6.77,1.73,466.0,46.79999999999999,6.685714285714284,9.95726495726496,0.30534188034188037,1
Monitor,3,9.75,3.48,0.78,4.37,9.83,0.36,3.26,4.99,9.05,523.01,32.64,4.662857142857143,16.02359068627451,0.15778186274509803,1
Vacuum Cleaner,1,4.23,9.78,1.8,3.23,2.5,2.0,1.87,5.92,0.95,309.97,18.27,2.61,16.966064586754243,0.2753147235905857,1
Vacuum Cleaner,1,4.62,3.57,9.2,3.92,0.74,8.24,8.44,2.4,6.02,722.16,38.959999999999994,5.565714285714285,18.53593429158111,0.3367556468172485,1
Audio Equipment,3,5.51,7.19,7.48,3.03,7.87,9.25,3.14,7.43,5.54,675.93,43.74,6.248571428571429,15.453360768175582,0.24028349336991311,1
Microwave Oven,1,2.09,1.01,9.42,0.79,5.87,3.81,6.61,2.89,7.24,608.16,36.63,5.232857142857143,16.602784602784602,0.27873327873327874,1
Tablet,2,8.55,5.07,3.36,2.73,0.39,4.52,8.74,8.35,7.17,603.14,35.260000000000005,5.037142857142858,17.105501985252406,0.1727169597277368,1
Monitor,3,4.75,9.21,9.33,4.46,1.04,4.03,3.61,0.16,2.67,738.67,25.299999999999997,3.614285714285714,29.196442687747037,0.5450592885375495,1
Washing Machine,0,4.22,6.95,6.98,6.76,6.48,1.37,3.95,6.17,9.55,585.45,41.260000000000005,5.894285714285715,14.189287445467764,0.33301017935046046,1
Fridge,0,1.04,5.86,7.75,3.73,9.9,8.44,5.5,0.34,2.75,470.01,38.410000000000004,5.4871428571428575,12.236657120541524,0.29888049986982557,1
Vacuum Cleaner,1,1.91,1.82,2.19,3.61,1.58,4.3,1.23,4.71,8.13,212.34,25.75,3.6785714285714284,8.24621359223301,0.22524271844660193,0
Tablet,2,9.59,6.6,6.59,6.37,5.44,8.21,0.79,2.07,3.99,828.32,33.46,4.78,24.755528989838613,0.38732815301852963,1
Microwave Oven,1,6.76,5.68,4.21,8.75,5.15,4.96,7.17,6.55,1.89,561.15,38.68,5.525714285714286,14.507497414684591,0.33505687693898656,1
Air Conditioner,0,2.82,8.45,2.91,0.98,0.99,2.61,3.09,4.75,2.16,299.39,17.490000000000002,2.4985714285714287,17.1177815894797,0.2224128073184677,0
Fridge,0,9.59,6.79,8.6,3.68,2.29,3.03,6.66,0.72,0.77,935.99,25.75,3.6785714285714284,36.349126213592236,0.4768932038834951,1
Iron,1,6.68,9.1,8.64,2.58,2.04,7.66,5.57,6.04,6.09,796.55,38.620000000000005,5.517142857142858,20.62532366649404,0.29052304505437593,1
Audio Equipment,3,7.61,9.55,5.63,3.55,8.13,9.77,7.64,1.82,3.03,681.35,39.57,5.652857142857143,17.218852666161233,0.23199393479909022,1
Toaster,1,3.28,8.85,6.02,4.48,8.4,5.56,5.92,2.71,8.55,489.02,41.64,5.948571428571428,11.743996157540826,0.2521613832853026,1
Microwave Oven,1,4.96,2.41,4.66,4.2,4.3,1.12,3.36,3.75,5.81,494.86,27.2,3.8857142857142857,18.19338235294118,0.32573529411764707,1
TV,3,8.12,2.68,9.27,5.13,8.32,0.85,6.56,9.49,5.52,897.35,45.14,6.448571428571428,19.879264510412053,0.31900753212228616,1
Microwave Oven,1,8.32,1.8,2.22,3.37,8.43,1.03,2.38,8.09,5.27,528.93,30.79,4.398571428571429,17.17862942513803,0.18155245209483598,1
Speaker,3,3.06,2.38,2.33,0.36,9.72,6.15,5.89,1.24,8.57,276.81,34.260000000000005,4.894285714285715,8.07968476357268,0.07851722124927027,0
Audio Equipment,3,6.13,2.76,9.67,9.82,3.9,0.85,7.62,9.17,2.9,820.98,43.93,6.275714285714286,18.68836785795584,0.4436603687684954,1
Vacuum Cleaner,1,5.44,6.48,6.14,9.78,0.36,6.65,1.07,3.24,6.88,600.13,34.120000000000005,4.8742857142857146,17.58880422039859,0.4665885111371628,1
Air Conditioner,0,2.09,1.93,3.78,9.16,9.86,1.81,7.72,7.36,9.72,306.51,49.41,7.058571428571428,6.203400121432908,0.2618903056061526,1
Monitor,3,8.72,3.97,2.77,3.24,7.62,3.16,5.57,3.09,3.21,579.33,28.66,4.094285714285714,20.213886950453595,0.20969993021632938,1
Stove,0,8.22,9.62,0.22,5.76,1.01,6.58,2.78,7.85,8.78,421.33,32.980000000000004,4.711428571428572,12.775318374772587,0.181322013341419,1
Laptop,2,3.52,8.07,3.8,4.6,5.18,0.34,3.97,6.98,8.4,381.27,33.269999999999996,4.752857142857143,11.459873760144275,0.25247971145175835,1
Iron,1,4.15,1.29,1.79,1.01,1.56,6.03,3.57,2.66,4.88,300.7,21.5,3.0714285714285716,13.986046511627906,0.13023255813953488,1
Air Conditioner,0,6.72,3.73,8.24,6.41,2.34,6.77,9.8,7.03,0.68,774.0,41.27,5.895714285714286,18.754543251756722,0.3549794039253695,1
Smartphone,2,0.17,5.38,8.76,6.24,6.18,2.93,1.06,5.41,9.42,480.95,40.0,5.714285714285714,12.02375,0.375,1
Iron,1,1.54,5.77,6.82,8.08,4.27,6.66,5.4,4.16,3.8,444.58,39.19,5.598571428571428,11.344220464404184,0.38019903036488906,1
Speaker,3,6.61,0.36,1.58,2.1,5.23,3.13,0.61,5.56,3.09,409.78,21.299999999999997,3.0428571428571423,19.23849765258216,0.17276995305164322,1
Fridge,0,3.88,1.14,4.91,5.46,5.91,4.36,0.51,5.35,3.99,454.55,30.490000000000002,4.355714285714286,14.908166612003935,0.3401115119711381,1
Stove,0,2.4,3.37,0.19,4.2,1.61,9.27,1.97,6.88,2.92,130.23,27.04,3.8628571428571425,4.816198224852071,0.1623520710059172,0
Stove,0,8.88,7.11,8.42,3.03,9.39,3.48,3.46,1.23,1.99,891.75,31.0,4.428571428571429,28.766129032258064,0.3693548387096774,1
Toaster,1,7.92,0.42,9.83,9.42,0.22,4.99,0.27,1.75,0.65,916.19,27.13,3.8757142857142854,33.77036490969407,0.7095466273497973,1
Monitor,3,6.02,8.39,2.1,9.32,8.02,1.18,3.49,5.55,3.38,413.26,33.04,4.72,12.507869249394673,0.3456416464891041,1
Stove,0,8.86,9.78,5.8,9.84,0.98,2.75,1.93,2.64,6.2,751.78,30.14,4.305714285714286,24.94293297942933,0.5189117451891174,1
Iron,1,9.81,6.42,6.88,0.66,6.81,9.57,9.01,4.61,6.64,854.61,44.18,6.311428571428571,19.343820733363515,0.1706654594839294,1
Washing Machine,0,0.23,1.74,5.33,2.57,2.66,2.77,5.31,1.12,9.13,297.97,28.89,4.127142857142857,10.313949463482174,0.27345102111457253,0
Stove,0,2.73,2.62,8.38,6.66,6.76,4.51,8.1,6.76,7.09,584.83,48.260000000000005,6.894285714285715,12.11831744716121,0.3116452548694571,1
Fridge,0,9.57,2.73,9.82,6.14,6.58,0.93,9.37,7.16,8.95,998.07,48.95,6.992857142857143,20.389581205311543,0.326046986721144,1
Smartphone,2,2.09,7.99,3.92,8.85,2.06,4.21,5.59,9.86,5.56,317.42,40.05,5.721428571428571,7.925593008739077,0.3188514357053683,1
Fridge,0,8.04,7.73,4.9,7.63,3.51,4.96,8.5,2.54,3.8,662.17,35.839999999999996,5.119999999999999,18.475725446428573,0.34960937500000006,1
Air Conditioner,0,0.49,9.01,7.58,8.62,5.73,8.98,9.26,4.67,7.83,435.63,52.67,7.524285714285715,8.270932219479779,0.3075754699069679,1
TV,3,0.37,9.4,1.82,4.88,0.32,1.52,2.64,4.8,8.06,121.12,24.04,3.434285714285714,5.038269550748752,0.2787021630615641,0
Washing Machine,0,0.28,3.81,4.66,5.2,9.19,3.42,5.64,6.69,6.36,265.82,41.16,5.88,6.45821185617104,0.23955296404275997,0
