Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Recovery_Status,Recyclable,Non_Recyclable
3,4.72,7.85,7.59,0.29,6.13,4.36,2.96,3.14,2.51,643,1,0,1
1,3.06,1.79,8.12,9.48,1.45,4.19,6.6,9.22,6.17,586,1,0,1
1,3.81,4.86,1.1,6.03,0.82,9.51,1.05,8.09,7.03,249,0,1,0
0,1.72,0.62,9.02,4.4,6.92,0.12,6.39,6.01,4.85,568,1,0,1
1,8.59,9.37,6.31,2.23,2.74,0.43,2.38,9.78,6.85,765,1,0,1
2,6.37,4.59,6.51,4.11,5.59,7.16,3.87,9.7,1.52,664,1,0,1
0,7.52,9.06,9.92,9.05,9.92,5.86,9.53,5.36,8.69,906,1,0,1
1,0.29,2.04,2.23,2.79,9.68,4.35,2.57,6.55,8.03,135,0,1,0
0,8.42,4.16,7.06,7.34,4.35,7.73,7.06,5.6,3.97,794,1,0,1
3,0.21,8.33,9.95,7.17,9.9,8.93,8.5,5.7,3.07,548,1,0,1
3,4.82,0.26,5.14,9.68,1.5,9.94,5.51,5.35,3.82,512,1,0,1
2,1.44,5.92,6.09,5.64,6.91,0.12,0.49,2.7,2.35,400,0,0,1
2,6.86,3.83,9.91,4.56,6.47,0.97,9.31,6.46,6.22,870,1,0,1
1,7.84,7.83,6.49,6.72,6.15,8.13,7.32,8.91,4.86,737,1,0,1
3,2.71,3.27,3.48,8.18,5.61,8.92,2.15,4.83,5.73,321,0,0,1
1,8.3,5.15,8.26,0.88,4.29,6.07,1.57,1.53,7.9,853,1,0,1
3,2.75,8.48,3.74,1.66,9.02,7.97,7.0,1.82,0.55,340,0,0,1
0,9.47,9.62,3.12,2.51,5.9,5.27,1.98,6.09,4.24,638,1,0,1
0,1.42,1.18,1.05,7.32,9.88,2.86,0.51,3.72,4.01,126,0,1,0
0,6.41,5.54,7.9,8.44,1.2,4.7,8.92,4.84,1.73,741,1,0,1
3,8.42,7.41,9.56,6.62,5.07,5.65,9.33,2.11,1.21,930,1,0,1
0,2.7,2.56,7.58,5.1,4.12,9.12,1.54,5.93,3.79,540,1,0,1
0,5.49,2.17,3.43,4.91,1.93,9.84,6.01,9.85,3.47,454,0,0,1
0,6.3,9.15,9.93,6.4,6.68,7.45,0.42,6.13,4.58,847,1,0,1
1,9.88,3.36,5.99,6.6,0.74,2.37,6.37,0.98,2.08,808,1,0,1
2,5.24,5.5,7.92,5.49,3.18,4.7,8.46,1.44,4.41,685,1,0,1
1,5.54,7.64,5.69,0.86,0.51,9.06,1.95,1.92,5.67,581,1,0,1
1,3.34,7.49,2.53,2.01,0.8,1.45,9.76,7.68,1.04,304,0,0,1
1,3.17,8.18,3.58,2.58,9.29,4.66,4.94,7.03,1.63,352,0,0,1
2,2.86,8.68,7.98,9.32,8.76,5.32,7.92,8.0,6.24,573,1,0,1
3,5.85,5.05,7.33,1.6,3.7,4.86,2.1,4.11,0.67,683,1,0,1
2,7.19,5.49,0.52,7.2,5.77,8.98,9.22,3.27,8.74,384,0,0,1
2,2.8,1.64,5.19,3.43,7.49,1.53,5.81,9.44,3.24,416,0,0,1
0,4.72,0.76,7.01,2.37,5.93,8.27,4.04,3.64,3.01,608,1,0,1
3,6.75,7.04,5.06,3.21,1.6,6.95,8.28,9.88,2.85,606,1,0,1
1,7.59,7.55,8.78,0.85,5.31,2.37,3.47,8.54,5.8,847,1,0,1
3,8.25,8.0,7.16,1.73,6.32,6.62,4.48,5.74,3.4,793,1,0,1
1,7.35,6.83,6.73,5.42,4.22,3.37,8.34,8.87,7.78,725,1,0,1
1,5.45,2.76,7.53,7.19,8.05,5.75,7.42,4.98,6.51,673,1,0,1
1,8.06,9.5,4.22,1.9,5.49,6.22,6.04,9.62,3.92,627,1,0,1
3,7.53,8.79,3.0,9.89,8.72,1.79,7.31,2.35,0.95,535,1,0,1
1,5.0,9.26,9.74,8.66,5.29,3.59,8.74,3.65,8.52,773,1,0,1
3,5.79,0.16,2.3,9.18,7.38,5.67,5.38,7.73,3.75,408,0,0,1
1,2.39,8.4,8.09,1.35,1.9,0.25,3.66,0.62,2.43,555,1,0,1
3,7.04,3.5,0.82,5.42,4.22,4.82,7.06,3.26,1.02,392,0,0,1
1,8.26,4.86,5.84,8.0,9.15,4.15,2.9,1.5,0.79,721,1,0,1
0,7.92,7.09,5.65,0.31,1.37,3.13,3.45,5.19,2.04,696,1,0,1
2,5.62,8.29,8.5,9.29,1.03,3.68,5.85,3.41,1.88,736,1,0,1
2,9.44,2.05,2.75,6.16,4.64,5.85,5.87,3.88,2.94,612,1,0,1
2,8.33,7.37,2.78,4.67,7.2,8.16,0.88,0.19,2.51,562,1,0,1
1,2.54,5.95,4.51,2.15,0.41,3.14,9.88,7.8,0.33,369,0,0,1
3,9.99,0.97,5.7,4.29,5.13,1.71,8.02,4.35,3.02,796,1,0,1
3,0.62,8.04,3.04,4.32,9.54,7.76,5.52,0.44,2.13,198,0,1,0
2,5.46,7.95,5.9,5.49,8.91,3.49,1.1,6.95,1.89,589,1,0,1
0,0.77,4.39,4.94,7.61,8.44,1.49,8.42,4.45,3.63,305,0,0,1
2,0.92,7.04,1.92,2.71,2.51,0.91,0.32,3.21,0.34,152,0,1,0
1,10.0,7.85,1.92,7.31,9.93,2.39,4.97,4.87,3.02,598,1,0,1
0,4.82,8.35,3.22,6.79,4.48,9.0,2.34,2.59,7.03,414,0,0,1
2,4.06,9.28,3.49,5.47,1.07,6.89,1.71,1.62,6.12,391,0,0,1
2,2.61,5.24,0.93,5.02,8.28,5.43,5.28,7.38,3.34,181,0,1,0
2,6.3,1.6,9.3,9.08,7.37,3.52,6.82,4.76,5.82,808,1,0,1
2,8.36,2.57,9.58,0.98,6.28,2.74,8.98,0.72,8.27,925,1,0,1
1,2.63,5.34,7.2,8.2,3.25,0.21,2.67,7.89,7.62,518,1,0,1
0,8.82,6.57,3.98,4.59,9.91,8.53,3.5,1.92,2.11,650,1,0,1
3,8.62,4.91,3.01,6.13,9.54,2.94,4.34,5.18,9.97,587,1,0,1
3,3.57,3.52,0.94,0.99,3.57,7.78,4.65,6.51,2.62,227,0,1,0
3,8.69,2.88,4.68,4.3,5.03,2.74,4.53,7.98,2.93,679,1,0,1
2,1.78,5.76,10.0,4.37,1.25,7.11,4.64,0.79,8.82,626,1,0,1
2,8.92,8.97,3.27,1.2,9.97,1.15,7.32,9.83,4.15,618,1,0,1
0,6.6,3.56,8.83,4.81,6.39,0.3,1.77,3.28,4.58,799,1,0,1
1,3.8,0.85,6.71,7.53,1.15,8.54,0.47,2.18,5.76,546,1,0,1
1,4.24,0.65,6.21,4.19,1.18,2.6,6.49,1.49,3.09,541,1,0,1
1,4.22,4.99,7.43,6.38,8.66,2.76,3.3,1.04,6.8,608,1,0,1
1,1.91,6.21,3.04,8.38,8.65,5.69,2.52,5.73,0.61,260,0,1,0
1,5.9,2.27,6.15,5.15,6.29,7.32,5.51,2.99,2.84,620,1,0,1
0,0.13,3.95,4.41,2.68,8.66,9.89,4.19,1.6,4.11,245,0,1,0
1,6.29,5.47,2.05,1.38,5.69,3.2,5.92,7.16,2.89,422,0,0,1
2,0.96,2.6,4.41,1.9,2.77,0.77,6.71,1.12,6.97,285,0,1,0
2,5.96,2.17,8.78,7.44,7.1,0.64,2.35,1.92,8.94,764,1,0,1
0,0.59,5.56,9.18,5.28,5.65,9.19,1.8,2.26,9.98,524,1,0,1
2,5.83,4.17,4.03,6.35,2.19,7.86,4.9,4.07,5.1,504,1,0,1
1,1.07,4.91,4.54,5.63,8.23,7.69,9.34,7.14,3.46,298,0,1,0
0,3.78,3.07,8.52,2.29,1.56,0.28,3.75,4.14,6.9,644,1,0,1
2,4.71,1.81,7.78,0.96,5.42,5.64,2.57,4.73,1.39,649,1,0,1
0,3.54,5.95,1.75,5.38,3.6,5.16,0.83,3.98,9.99,271,0,1,0
0,6.93,1.45,6.48,1.44,1.32,0.55,5.37,8.82,8.23,688,1,0,1
3,4.88,6.57,3.09,5.42,3.66,1.38,3.22,3.51,5.98,409,0,0,1
2,1.25,6.28,4.87,9.88,9.78,1.55,8.23,4.58,5.53,326,0,0,1
0,0.51,2.91,2.97,0.26,2.69,2.18,3.63,7.47,5.4,185,0,1,0
0,1.86,3.67,6.54,8.08,9.72,1.63,5.41,8.61,3.24,444,0,0,1
2,7.1,1.18,2.74,9.79,4.99,5.47,4.82,5.84,4.2,496,0,0,1
3,1.12,8.85,2.54,5.43,3.13,9.11,1.85,6.02,7.1,196,0,1,0
1,3.85,4.39,0.23,3.7,5.31,2.54,5.66,3.92,0.85,204,0,1,0
1,9.32,9.3,5.48,9.71,9.09,2.8,2.49,0.85,2.01,757,1,0,1
2,2.43,5.26,4.92,2.33,9.69,5.17,4.82,1.21,9.53,386,0,0,1
3,4.29,5.82,7.03,5.57,8.4,0.66,4.58,3.43,2.82,590,1,0,1
1,4.53,5.73,0.51,2.35,5.36,5.66,7.61,0.29,4.77,253,0,1,0
0,3.98,1.58,9.91,3.45,5.06,5.43,2.08,3.34,1.83,727,1,0,1
1,1.68,9.91,2.52,6.97,8.53,8.99,2.05,8.53,8.06,223,0,1,0
3,5.39,8.84,7.79,3.81,1.38,0.63,8.55,3.75,7.79,687,1,0,1
3,2.88,1.53,7.44,5.64,8.9,2.41,3.16,8.34,1.3,541,1,0,1
3,3.06,5.58,2.63,2.61,1.57,0.75,6.76,4.31,1.14,294,0,1,0
0,4.02,1.95,4.21,6.2,1.16,6.81,4.11,3.24,4.5,424,0,0,1
2,5.14,8.19,7.23,7.64,6.24,1.27,3.07,0.98,1.05,644,1,0,1
3,7.31,3.91,0.67,6.32,5.08,0.38,0.64,7.15,2.55,397,0,0,1
2,7.28,6.78,8.9,1.47,0.2,9.04,1.15,1.5,6.93,838,1,0,1
3,5.95,6.88,6.41,7.34,7.13,9.78,9.66,8.78,8.22,640,1,0,1
1,9.71,4.62,2.5,0.95,3.54,7.49,5.8,8.85,6.62,613,1,0,1
1,4.29,8.14,1.2,7.35,7.67,0.28,4.58,8.73,6.71,279,0,1,0
1,1.82,9.86,3.45,3.21,4.05,8.19,5.48,8.87,5.01,280,0,1,0
2,4.74,0.83,8.3,3.53,4.94,3.32,7.46,8.06,9.02,678,1,0,1
0,4.07,6.75,6.92,7.72,4.81,6.1,4.85,9.25,1.24,574,1,0,1
1,0.29,1.31,8.09,9.16,5.37,0.56,7.79,2.31,7.44,448,0,0,1
0,8.61,9.69,5.6,9.02,3.99,1.8,6.99,9.72,6.71,728,1,0,1
2,4.95,4.87,1.58,2.47,4.53,5.95,9.48,2.68,2.15,330,0,0,1
2,7.97,3.48,7.04,1.13,0.96,7.68,3.38,4.24,0.13,770,1,0,1
3,7.17,8.05,7.89,4.13,7.24,3.63,0.66,8.68,9.06,779,1,0,1
1,4.13,3.42,1.08,4.26,2.98,0.58,2.72,3.51,3.39,262,0,1,0
3,0.41,1.85,4.34,9.22,2.51,3.8,8.71,7.15,5.81,253,0,1,0
0,1.63,1.59,2.73,6.99,1.48,1.88,3.63,1.96,4.27,227,0,1,0
3,4.73,8.99,0.48,0.17,0.47,1.81,9.09,5.17,4.9,263,0,1,0
3,3.25,9.91,1.56,8.22,3.84,4.58,5.82,9.1,0.82,249,0,1,0
3,2.74,4.86,1.74,5.74,8.31,2.11,1.35,5.27,6.37,230,0,1,0
3,4.24,7.69,9.69,0.33,2.23,3.67,5.62,3.58,3.57,732,1,0,1
1,5.36,3.2,4.55,9.22,5.14,9.32,3.62,8.55,4.81,509,1,0,1
0,5.62,3.08,7.13,4.83,7.07,9.46,9.68,9.24,7.16,660,1,0,1
2,0.17,1.34,7.44,9.45,3.88,1.21,6.31,4.87,3.84,407,0,0,1
1,6.01,5.11,9.33,0.5,6.04,4.11,6.47,6.64,8.51,798,1,0,1
